day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
7,PL044,60.0,0.0,43.0,60.0,60.0
1,PL045,0.0,0.0,41.0,60.0,60.0
2,PL045,0.0,0.0,41.0,60.0,60.0
3,PL045,22.0,0.0,5.0,60.0,60.0
4,PL045,0.0,0.0,60.0,60.0,60.0
5,PL045,0.0,0.0,31.0,60.0,60.0
6,PL045,0.0,0.0,38.0,60.0,60.0
7,PL045,57.0,0.0,0.0,60.0,60.0
1,PL046,0.0,0.0,27.0,60.0,60.0
2,PL046,0.0,0.0,39.0,60.0,60.0
3,PL046,0.0,0.0,40.0,60.0,60.0
4,PL046,2.0,0.0,37.0,60.0,60.0
5,PL046,45.0,0.0,0.0,60.0,60.0
6,PL046,25.0,0.0,60.0,60.0,60.0
7,PL046,60.0,0.0,0.0,60.0,60.0
1,PL047,0.0,0.0,33.0,60.0,60.0
2,PL047,0.0,0.0,42.0,60.0,60.0
3,PL047,0.0,0.0,41.0,60.0,60.0
4,PL047,0.0,0.0,39.0,60.0,60.0
5,PL047,0.0,0.0,43.0,60.0,60.0
6,PL047,41.0,0.0,0.0,60.0,60.0
7,PL047,60.0,0.0,24.0,60.0,60.0
1,PL048,42.0,0.0,2.0,60.0,60.0
2,PL048,18.0,0.0,60.0,60.0,60.0
3,PL048,0.0,0.0,60.0,60.0,60.0
4,PL048,0.0,0.0,37.0,60.0,60.0
5,PL048,0.0,0.0,30.0,60.0,60.0
6,PL048,14.0,0.0,25.0,60.0,60.0
7,PL048,60.0,0.0,0.0,60.0,60.0
1,PL049,0.0,0.0,47.0,60.0,60.0
2,PL049,0.0,0.0,45.0,60.0,60.0
3,PL049,0.0,0.0,50.0,60.0,60.0
4,PL049,0.0,0.0,43.0,60.0,60.0
5,PL049,22.0,0.0,30.0,60.0,60.0
6,PL049,10.0,0.0,60.0,60.0,60.0
7,PL049,60.0,0.0,0.0,60.0,60.0
1,PL050,0.0,0.0,41.0,60.0,60.0
2,PL050,27.0,0.0,18.0,60.0,60.0
3,PL050,0.0,0.0,60.0,60.0,60.0
4,PL050,35.0,0.0,0.0,60.0,60.0
5,PL050,11.0,0.0,60.0,60.0,60.0
6,PL050,0.0,0.0,54.0,60.0,60.0
7,PL050,34.0,0.0,0.0,60.0,60.0
