day,locker_id,cleared_actual,overflow,S_end,capacity,clear_capacity
2,PL032,50.023102,0.0,63.323432,94.0,60.0
3,PL032,47.79868,0.0,58.524752,94.0,60.0
4,PL032,43.250825,0.0,52.273927,94.0,60.0
5,PL032,39.518152,0.0,50.755776,94.0,60.0
6,PL032,39.60066,0.0,55.155116,94.0,60.0
7,PL032,2.1551155,0.0,94.0,94.0,60.0
1,PL033,22.837838,0.0,49.162162,97.0,60.0
2,PL033,35.949807,0.0,51.212355,97.0,60.0
3,PL033,40.123552,0.0,59.088803,97.0,60.0
4,PL033,41.675676,0.0,56.413127,97.0,60.0
5,PL033,37.061776,0.0,42.351351,97.0,60.0
6,PL033,21.351351,0.0,57.0,97.0,60.0
7,PL033,0.0,0.0,97.0,97.0,60.0
1,PL034,20.375427,1.2764505,33.348123,52.0,60.0
2,PL034,32.150171,0.0,37.197952,52.0,60.0
3,PL034,37.078498,0.0,44.119454,52.0,60.0
4,PL034,39.535836,0.0,43.583618,52.0,60.0
5,PL034,46.583618,0.0,52.0,52.0,60.0
6,PL034,46.505119,0.0,51.494881,52.0,60.0
7,PL034,42.494881,0.0,52.0,52.0,60.0
1,PL035,29.630282,0.0,42.369718,55.0,60.0
2,PL035,44.65493,0.0,41.714789,55.0,60.0
3,PL035,42.271127,0.0,37.443662,55.0,60.0
4,PL035,40.394366,0.0,36.049296,55.0,60.0
5,PL035,38.658451,0.0,36.390845,55.0,60.0
6,PL035,41.070423,0.0,40.320423,55.0,60.0
7,PL035,19.320423,0.0,55.0,55.0,60.0
1,PL036,28.014235,0.0,50.985765,64.0,60.0
2,PL036,40.245552,0.0,49.740214,64.0,60.0
3,PL036,37.370107,0.0,45.370107,64.0,60.0
4,PL036,39.80427,0.0,51.565836,64.0,60.0
5,PL036,39.619217,0.0,51.946619,64.0,60.0
6,PL036,43.786477,0.0,53.160142,64.0,60.0
7,PL036,26.160142,0.0,64.0,64.0,60.0
1,PL037,23.727273,8.3474026,24.925325,41.0,60.0
2,PL037,39.779221,0.0,33.146104,41.0,60.0
3,PL037,42.019481,0.0,33.126623,41.0,60.0
4,PL037,45.935065,0.0,35.191558,41.0,60.0
5,PL037,40.600649,0.0,25.590909,41.0,60.0
6,PL037,43.094156,0.0,33.496753,41.0,60.0
7,PL037,44.496753,0.0,41.0,41.0,60.0
1,PL038,30.721429,0.0,45.278571,63.0,60.0
2,PL038,43.203571,0.0,39.075,63.0,60.0
3,PL038,39.989286,0.0,36.085714,63.0,60.0
4,PL038,35.135714,0.0,31.95,63.0,60.0
5,PL038,37.653571,0.0,40.296429,63.0,60.0
6,PL038,38.532143,0.0,39.764286,63.0,60.0
7,PL038,21.764286,0.0,63.0,63.0,60.0
1,PL039,26.444444,0.0,71.555556,83.0,60.0
2,PL039,45.367003,0.0,78.188552,83.0,60.0
3,PL039,42.909091,0.0,71.279461,83.0,60.0
4,PL039,42.262626,0.0,66.016835,83.0,60.0
5,PL039,34.946128,0.0,63.070707,83.0,60.0
6,PL039,40.922559,0.0,75.148148,83.0,60.0
7,PL039,37.148148,0.0,83.0,83.0,60.0
1,PL040,21.748062,10.515504,8.7364341,26.0,60.0
2,PL040,33.143411,0.0,13.593023,26.0,60.0
3,PL040,31.317829,0.0,5.2751938,26.0,60.0
4,PL040,32.682171,0.0,12.593023,26.0,60.0
5,PL040,31.864341,0.0,10.728682,26.0,60.0
6,PL040,38.189922,0.0,19.53876,26.0,60.0
7,PL040,42.53876,0.0,26.0,26.0,60.0
1,PL041,29.448276,0.55172414,24.0,24.0,60.0
2,PL041,35.877395,3.1570881,9.9655172,24.0,60.0
3,PL041,36.923372,0.0,17.042146,24.0,60.0
4,PL041,39.042146,0.0,24.0,24.0,60.0
5,PL041,40.360153,0.0,15.639847,24.0,60.0
6,PL041,39.065134,0.0,16.574713,24.0,60.0
7,PL041,24.574713,0.0,24.0,24.0,60.0
1,PL042,30.164835,0.0,40.835165,50.0,60.0
2,PL042,43.545788,0.0,38.289377,50.0,60.0
3,PL042,43.285714,0.0,39.003663,50.0,60.0
4,PL042,41.736264,0.0,37.267399,50.0,60.0
5,PL042,40.663004,0.0,34.604396,50.0,60.0
6,PL042,35.450549,0.0,27.153846,50.0,60.0
7,PL042,14.153846,0.0,50.0,50.0,60.0
1,PL043,19.444444,0.0,41.555556,51.0,60.0
2,PL043,35.54321,0.0,43.012346,51.0,60.0
3,PL043,35.567901,0.0,42.444444,51.0,60.0
4,PL043,37.790123,0.0,46.654321,51.0,60.0
5,PL043,36.444444,0.0,43.209877,51.0,60.0
6,PL043,37.54321,0.0,40.666667,51.0,60.0
7,PL043,15.666667,0.0,51.0,51.0,60.0
1,PL044,22.632184,0.0,33.367816,58.0,60.0
2,PL044,37.084291,0.0,42.283525,58.0,60.0
3,PL044,34.375479,0.0,29.908046,58.0,60.0
4,PL044,35.823755,0.0,36.084291,58.0,60.0
5,PL044,33.517241,0.0,37.56705,58.0,60.0
6,PL044,38.770115,0.0,38.796935,58.0,60.0
7,PL044,23.796935,0.0,58.0,58.0,60.0
1,PL045,26.582418,8.3186813,22.098901,32.0,60.0
2,PL045,40.849817,0.0,22.249084,32.0,60.0
3,PL045,36.487179,0.0,12.761905,32.0,60.0
4,PL045,35.468864,0.0,15.29304,32.0,60.0
5,PL045,31.92674,0.0,14.3663,32.0,60.0
6,PL045,35.677656,0.0,16.688645,32.0,60.0
7,PL045,41.688645,0.0,32.0,32.0,60.0
1,PL046,17.041825,3.5171103,33.441065,49.0,60.0
2,PL046,30.65019,0.0,41.790875,49.0,60.0
3,PL046,34.878327,0.0,46.912548,49.0,60.0
4,PL046,39.326996,0.0,46.585551,49.0,60.0
5,PL046,40.585551,0.0,49.0,49.0,60.0
6,PL046,40.612167,0.0,48.387833,49.0,60.0
7,PL046,34.387833,0.0,49.0,49.0,60.0
1,PL047,22.819149,0.0,55.180851,73.0,60.0
2,PL047,36.095745,0.0,61.085106,73.0,60.0
3,PL047,38.879433,0.0,63.205674,73.0,60.0
4,PL047,40.620567,0.0,61.585106,73.0,60.0
5,PL047,40.992908,0.0,63.592199,73.0,60.0
6,PL047,41.078014,0.0,63.514184,73.0,60.0
7,PL047,33.514184,0.0,73.0,73.0,60.0
1,PL048,31.956204,3.0437956,21.0,21.0,60.0
2,PL048,41.226277,0.0,15.773723,21.0,60.0
3,PL048,40.270073,0.0,17.50365,21.0,60.0
4,PL048,38.624088,0.0,15.879562,21.0,60.0
5,PL048,35.941606,0.0,9.9379562,21.0,60.0
6,PL048,35.036496,0.0,13.90146,21.0,60.0
7,PL048,38.90146,0.0,21.0,21.0,60.0
1,PL049,29.883582,0.0,44.116418,47.0,60.0
2,PL049,46.214925,0.0,42.901493,47.0,60.0
3,PL049,47.340299,0.0,45.561194,47.0,60.0
4,PL049,45.928358,0.0,42.632836,47.0,60.0
5,PL049,48.435821,0.0,46.197015,47.0,60.0
6,PL049,47.453731,0.0,46.743284,47.0,60.0
7,PL049,49.743284,0.0,47.0,47.0,60.0
1,PL050,27.640449,6.0262172,19.333333,22.0,60.0
2,PL050,42.333333,0.0,22.0,22.0,60.0
3,PL050,39.696629,0.0,15.303371,22.0,60.0
4,PL050,37.576779,0.0,12.726592,22.0,60.0
5,PL050,34.681648,0.0,14.044944,22.0,60.0
6,PL050,38.007491,0.0,19.037453,22.0,60.0
7,PL050,31.037453,0.0,22.0,22.0,60.0
1,PL051,25.907143,2.6178571,44.475,52.0,60.0
2,PL051,42.475,0.0,52.0,52.0,60.0
3,PL051,42.364286,0.0,47.635714,52.0,60.0
4,PL051,45.603571,0.0,51.032143,52.0,60.0
