day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
1,PL033,60.486486,0.0,11.513514,60.0,97.0
2,PL033,62.53668,0.0,35.949807,60.0,97.0
3,PL033,70.413127,0.0,40.123552,60.0,97.0
4,PL033,67.737452,0.0,41.675676,60.0,97.0
5,PL033,53.675676,0.0,37.061776,60.0,97.0
6,PL033,57.0,0.0,32.675676,60.0,97.0
7,PL033,97.0,0.0,0.0,60.0,97.0
1,PL034,33.348123,1.2764505,20.375427,60.0,52.0
2,PL034,37.197952,0.0,32.150171,60.0,52.0
3,PL034,44.119454,0.0,37.078498,60.0,52.0
4,PL034,43.583618,0.0,39.535836,60.0,52.0
5,PL034,52.0,0.0,46.583618,60.0,52.0
6,PL034,51.494881,0.0,46.505119,60.0,52.0
7,PL034,52.0,0.0,42.494881,60.0,52.0
1,PL035,42.369718,0.0,29.630282,60.0,55.0
2,PL035,41.714789,0.0,44.65493,60.0,55.0
3,PL035,37.443662,0.0,42.271127,60.0,55.0
4,PL035,36.049296,0.0,40.394366,60.0,55.0
5,PL035,36.390845,0.0,38.658451,60.0,55.0
6,PL035,40.320423,0.0,41.070423,60.0,55.0
7,PL035,55.0,0.0,19.320423,60.0,55.0
1,PL036,50.985765,0.0,28.014235,60.0,64.0
2,PL036,49.740214,0.0,40.245552,60.0,64.0
3,PL036,45.370107,0.0,37.370107,60.0,64.0
4,PL036,51.565836,0.0,39.80427,60.0,64.0
5,PL036,51.946619,0.0,39.619217,60.0,64.0
6,PL036,53.160142,0.0,43.786477,60.0,64.0
7,PL036,64.0,0.0,26.160142,60.0,64.0
1,PL037,24.925325,8.3474026,23.727273,60.0,41.0
2,PL037,33.146104,0.0,39.779221,60.0,41.0
3,PL037,33.126623,0.0,42.019481,60.0,41.0
4,PL037,35.191558,0.0,45.935065,60.0,41.0
5,PL037,25.590909,0.0,40.600649,60.0,41.0
6,PL037,33.496753,0.0,43.094156,60.0,41.0
7,PL037,41.0,0.0,44.496753,60.0,41.0
1,PL038,45.278571,0.0,30.721429,60.0,63.0
2,PL038,39.075,0.0,43.203571,60.0,63.0
3,PL038,36.085714,0.0,39.989286,60.0,63.0
4,PL038,31.95,0.0,35.135714,60.0,63.0
5,PL038,40.296429,0.0,37.653571,60.0,63.0
6,PL038,39.764286,0.0,38.532143,60.0,63.0
7,PL038,63.0,0.0,21.764286,60.0,63.0
1,PL039,71.555556,0.0,26.444444,60.0,83.0
2,PL039,78.188552,0.0,45.367003,60.0,83.0
3,PL039,71.279461,0.0,42.909091,60.0,83.0
4,PL039,66.016835,0.0,42.262626,60.0,83.0
5,PL039,63.070707,0.0,34.946128,60.0,83.0
6,PL039,75.148148,0.0,40.922559,60.0,83.0
7,PL039,83.0,0.0,37.148148,60.0,83.0
1,PL040,8.7364341,10.515504,21.748062,60.0,26.0
2,PL040,13.593023,0.0,33.143411,60.0,26.0
3,PL040,5.2751938,0.0,31.317829,60.0,26.0
4,PL040,12.593023,0.0,32.682171,60.0,26.0
5,PL040,10.728682,0.0,31.864341,60.0,26.0
6,PL040,19.53876,0.0,38.189922,60.0,26.0
7,PL040,26.0,0.0,42.53876,60.0,26.0
1,PL041,24.0,0.55172414,29.448276,60.0,24.0
2,PL041,9.9655172,3.1570881,35.877395,60.0,24.0
3,PL041,17.042146,0.0,36.923372,60.0,24.0
4,PL041,24.0,0.0,39.042146,60.0,24.0
5,PL041,15.639847,0.0,40.360153,60.0,24.0
6,PL041,16.574713,0.0,39.065134,60.0,24.0
7,PL041,24.0,0.0,24.574713,60.0,24.0
1,PL042,40.835165,0.0,30.164835,60.0,50.0
2,PL042,38.289377,0.0,43.545788,60.0,50.0
3,PL042,39.003663,0.0,43.285714,60.0,50.0
4,PL042,37.267399,0.0,41.736264,60.0,50.0
5,PL042,34.604396,0.0,40.663004,60.0,50.0
6,PL042,27.153846,0.0,35.450549,60.0,50.0
7,PL042,50.0,0.0,14.153846,60.0,50.0
1,PL043,41.555556,0.0,19.444444,60.0,51.0
2,PL043,43.012346,0.0,35.54321,60.0,51.0
3,PL043,42.444444,0.0,35.567901,60.0,51.0
4,PL043,46.654321,0.0,37.790123,60.0,51.0
5,PL043,43.209877,0.0,36.444444,60.0,51.0
6,PL043,40.666667,0.0,37.54321,60.0,51.0
7,PL043,51.0,0.0,15.666667,60.0,51.0
1,PL044,33.367816,0.0,22.632184,60.0,58.0
2,PL044,42.283525,0.0,37.084291,60.0,58.0
3,PL044,29.908046,0.0,34.375479,60.0,58.0
4,PL044,36.084291,0.0,35.823755,60.0,58.0
5,PL044,37.56705,0.0,33.517241,60.0,58.0
6,PL044,38.796935,0.0,38.770115,60.0,58.0
7,PL044,58.0,0.0,23.796935,60.0,58.0
1,PL045,22.098901,8.3186813,26.582418,60.0,32.0
2,PL045,22.249084,0.0,40.849817,60.0,32.0
3,PL045,12.761905,0.0,36.487179,60.0,32.0
4,PL045,15.29304,0.0,35.468864,60.0,32.0
5,PL045,14.3663,0.0,31.92674,60.0,32.0
6,PL045,16.688645,0.0,35.677656,60.0,32.0
7,PL045,32.0,0.0,41.688645,60.0,32.0
1,PL046,33.441065,3.5171103,17.041825,60.0,49.0
2,PL046,41.790875,0.0,30.65019,60.0,49.0
3,PL046,46.912548,0.0,34.878327,60.0,49.0
4,PL046,46.585551,0.0,39.326996,60.0,49.0
5,PL046,49.0,0.0,40.585551,60.0,49.0
6,PL046,48.387833,0.0,40.612167,60.0,49.0
7,PL046,49.0,0.0,34.387833,60.0,49.0
1,PL047,55.180851,0.0,22.819149,60.0,73.0
2,PL047,61.085106,0.0,36.095745,60.0,73.0
3,PL047,63.205674,0.0,38.879433,60.0,73.0
4,PL047,61.585106,0.0,40.620567,60.0,73.0
5,PL047,63.592199,0.0,40.992908,60.0,73.0
6,PL047,63.514184,0.0,41.078014,60.0,73.0
7,PL047,73.0,0.0,33.514184,60.0,73.0
1,PL048,21.0,3.0437956,31.956204,60.0,21.0
2,PL048,15.773723,0.0,41.226277,60.0,21.0
3,PL048,17.50365,0.0,40.270073,60.0,21.0
4,PL048,15.879562,0.0,38.624088,60.0,21.0
5,PL048,9.9379562,0.0,35.941606,60.0,21.0
6,PL048,13.90146,0.0,35.036496,60.0,21.0
7,PL048,21.0,0.0,38.90146,60.0,21.0
1,PL049,44.116418,0.0,29.883582,60.0,47.0
2,PL049,42.901493,0.0,46.214925,60.0,47.0
3,PL049,45.561194,0.0,47.340299,60.0,47.0
4,PL049,42.632836,0.0,45.928358,60.0,47.0
5,PL049,46.453731,0.0,48.179104,60.0,47.0
6,PL049,47.0,0.0,47.453731,60.0,47.0
7,PL049,47.0,0.0,50.0,60.0,47.0
1,PL050,19.333333,6.0262172,27.640449,60.0,22.0
2,PL050,22.0,0.0,42.333333,60.0,22.0
3,PL050,15.303371,0.0,39.696629,60.0,22.0
4,PL050,12.726592,0.0,37.576779,60.0,22.0
5,PL050,14.044944,0.0,34.681648,60.0,22.0
6,PL050,19.037453,0.0,38.007491,60.0,22.0
7,PL050,22.0,0.0,31.037453,60.0,22.0
1,PL051,44.475,2.6178571,25.907143,60.0,52.0
2,PL051,52.0,0.0,42.475,60.0,52.0
3,PL051,47.635714,0.0,42.364286,60.0,52.0
4,PL051,51.032143,0.0,45.603571,60.0,52.0
5,PL051,43.939286,0.0,40.092857,60.0,52.0
6,PL051,37.935714,0.0,38.003571,60.0,52.0
7,PL051,52.0,0.0,24.935714,60.0,52.0
1,PL052,22.388489,7.4388489,28.172662,60.0,28.0
2,PL052,20.338129,0.0,43.05036,60.0,28.0
3,PL052,15.841727,0.0,40.496403,60.0,28.0
4,PL052,14.043165,0.0,37.798561,60.0,28.0
5,PL052,9.942446,0.0,34.100719,60.0,28.0
6,PL052,9.8345324,0.0,33.107914,60.0,28.0
7,PL052,28.0,0.0,39.834532,60.0,28.0
1,PL053,52.365188,0.0,30.634812,60.0,73.0
2,PL053,47.587031,0.0,41.778157,60.0,73.0
3,PL053,48.191126,0.0,40.395904,60.0,73.0
4,PL053,52.136519,0.0,41.054608,60.0,73.0
5,PL053,49.255973,0.0,41.880546,60.0,73.0
6,PL053,47.433447,0.0,40.822526,60.0,73.0
7,PL053,73.0,0.0,22.433447,60.0,73.0
1,PL054,29.0,0.22262774,27.777372,60.0,29.0
2,PL054,19.985401,0.0,39.014599,60.0,29.0
3,PL054,24.39781,0.0,38.587591,60.0,29.0
4,PL054,29.0,0.0,38.39781,60.0,29.0
5,PL054,26.919708,0.0,42.080292,60.0,29.0
6,PL054,23.083942,0.0,39.835766,60.0,29.0
7,PL054,29.0,0.0,33.083942,60.0,29.0
1,PL055,69.818182,0.0,23.181818,60.0,90.0
2,PL055,72.545455,0.0,37.272727,60.0,90.0
3,PL055,72.606061,0.0,37.939394,60.0,90.0
4,PL055,75.30303,0.0,40.30303,60.0,90.0
5,PL055,74.356061,0.0,39.94697,60.0,90.0
6,PL055,72.931818,0.0,40.424242,60.0,90.0
7,PL055,90.0,0.0,11.931818,60.0,90.0
1,PL056,37.079848,0.0,29.920152,60.0,44.0
2,PL056,31.39924,0.0,39.680608,60.0,44.0
3,PL056,30.555133,0.0,37.844106,60.0,44.0
4,PL056,35.885932,0.0,38.669202,60.0,44.0
5,PL056,31.072243,0.0,37.813688,60.0,44.0
