day,locker_id,S_end,overflow,cleared_actual,clear_capacity,capacity
5,PL062,22.0,11.0,0.0,60.0,22.0
6,PL062,22.0,45.0,0.0,60.0,22.0
7,PL062,22.0,28.0,0.0,60.0,22.0
1,PL063,0.0,29.421429,24.578571,60.0,41.0
2,PL063,0.0,3.3821429,38.617857,60.0,41.0
3,PL063,0.0,42.0,0.0,60.0,41.0
4,PL063,0.0,0.017857143,41.982143,60.0,41.0
5,PL063,34.0,0.0,0.0,60.0,41.0
6,PL063,41.0,35.0,0.0,60.0,41.0
7,PL063,41.0,41.0,0.0,60.0,41.0
1,PL064,0.0,48.340909,19.659091,60.0,80.0
2,PL064,0.0,34.0,0.0,60.0,80.0
3,PL064,9.1969697,0.0,36.80303,60.0,80.0
4,PL064,17.242424,0.0,43.954545,60.0,80.0
5,PL064,52.242424,0.0,0.0,60.0,80.0
6,PL064,80.0,4.2424242,0.0,60.0,80.0
7,PL064,80.0,35.0,0.0,60.0,80.0
1,PL065,29.136842,0.0,21.863158,60.0,39.0
2,PL065,0.0,69.136842,0.0,60.0,39.0
3,PL065,0.0,50.0,0.0,60.0,39.0
4,PL065,39.0,6.0,0.0,60.0,39.0
5,PL065,39.0,37.0,0.0,60.0,39.0
6,PL065,39.0,34.0,0.0,60.0,39.0
7,PL065,39.0,48.0,0.0,60.0,39.0
1,PL066,0.0,44.648148,25.351852,60.0,61.0
2,PL066,0.0,34.0,0.0,60.0,61.0
3,PL066,0.0,1.7518519,36.248148,60.0,61.0
4,PL066,0.0,0.0,33.0,60.0,61.0
5,PL066,42.0,0.0,0.0,60.0,61.0
6,PL066,61.0,27.0,0.0,60.0,61.0
7,PL066,61.0,40.0,0.0,60.0,61.0
1,PL067,0.0,35.297491,28.702509,60.0,36.0
2,PL067,3.5663082,1.1003584,46.333333,60.0,36.0
3,PL067,0.0,0.0,45.566308,60.0,36.0
4,PL067,35.0,0.0,0.0,60.0,36.0
5,PL067,36.0,36.0,0.0,60.0,36.0
6,PL067,36.0,40.0,0.0,60.0,36.0
7,PL067,36.0,30.0,0.0,60.0,36.0
1,PL068,0.0,43.428571,26.571429,60.0,65.0
2,PL068,0.0,0.0,32.0,60.0,65.0
3,PL068,0.10526316,6.7218045,39.172932,60.0,65.0
4,PL068,0.0,0.0,39.105263,60.0,65.0
5,PL068,37.0,0.0,0.0,60.0,65.0
6,PL068,65.0,13.0,0.0,60.0,65.0
7,PL068,65.0,33.0,0.0,60.0,65.0
1,PL069,25.274021,0.0,24.725979,60.0,36.0
2,PL069,0.0,71.274021,0.0,60.0,36.0
3,PL069,0.0,40.0,0.0,60.0,36.0
4,PL069,0.0,0.0,37.0,60.0,36.0
5,PL069,36.0,4.0,0.0,60.0,36.0
6,PL069,36.0,35.0,0.0,60.0,36.0
7,PL069,36.0,47.0,0.0,60.0,36.0
1,PL070,5.4573643,59.472868,26.069767,60.0,93.0
2,PL070,0.0,0.0,35.457364,60.0,93.0
3,PL070,0.0,0.0,27.0,60.0,93.0
4,PL070,0.0,9.2906977,32.709302,60.0,93.0
5,PL070,34.0,0.0,0.0,60.0,93.0
6,PL070,83.0,0.0,0.0,60.0,93.0
7,PL070,93.0,28.0,0.0,60.0,93.0
1,PL071,0.0,43.765152,32.234848,60.0,56.0
2,PL071,0.0,0.0,32.0,60.0,56.0
3,PL071,0.0,0.0,34.0,60.0,56.0
4,PL071,0.0,5.3181818,35.681818,60.0,56.0
5,PL071,32.0,0.0,0.0,60.0,56.0
6,PL071,56.0,21.0,0.0,60.0,56.0
7,PL071,56.0,34.0,0.0,60.0,56.0
1,PL072,0.0,72.0,0.0,60.0,64.0
2,PL072,0.0,3.4962963,40.503704,60.0,64.0
3,PL072,0.0,0.0,33.0,60.0,64.0
